Name,Family,Where Found,Harmful to Humans
Coxiella burnetii,Coxiellaceae,Infected animals,Yes
Streptococcus salivarius,Streptococcaceae,"Human mouth, throat",No
Streptomyces coelicolor,Streptomycetaceae,Soil,No
Rhodobacter sphaeroides,Rhodobacteraceae,"Freshwater, marine environments",No
Caulobacter crescentus,Caulobacteraceae,Freshwater,No
Anabaena sp.,Nostocaceae,Freshwater environments,No
Nitrosomonas europaea,Nitrosomonadaceae,"Soil, water",No
Rhizobium leguminosarum,Rhizobiaceae,Root nodules of legumes,No
Agrobacterium tumefaciens,Rhizobiaceae,Plant tissues,Yes
Bordetella pertussis,Alcaligenaceae,Respiratory tract,Yes
Coxiella burnetii,Coxiellaceae,Infected animals,Yes
Dermatophilus congolensis,Dermatophilaceae,Animal skin,Yes
Ehrlichia chaffeensis,Anaplasmataceae,White-tailed deer,Yes
Francisella tularensis,Francisellaceae,"Infected animals, water",Yes
Gardnerella vaginalis,Bifidobacteriaceae,Genitourinary tract,Yes
Haemophilus ducreyi,Pasteurellaceae,Human skin,Yes
Ignatzschineria indica,Ignatzschineriaceae,Infected wounds,Yes
Janthinobacterium lividum,Oxalobacteraceae,"Soil, water",No
Klebsiella oxytoca,Enterobacteriaceae,Intestinal tract,No
Legionella longbeachae,Legionellaceae,Soil,Yes
Moraxella catarrhalis,Moraxellaceae,Respiratory tract,Yes
Neisseria meningitidis,Neisseriaceae,Respiratory tract,Yes
Ochrobactrum anthropi,Brucellaceae,"Soil, water",No
Pasteurella multocida,Pasteurellaceae,Animal respiratory tracts,Yes
Q fever agent (Coxiella burnetii),Coxiellaceae,Infected animals,Yes
Rickettsia prowazekii,Rickettsiaceae,Body lice,Yes
Serratia liquefaciens,Enterobacteriaceae,"Soil, water",No
Thermus aquaticus,Deinococcaceae,Hot springs,No
Ureaplasma urealyticum,Mycoplasmataceae,Human urogenital tract,Yes
Variovorax paradoxus,Comamonadaceae,Soil,No
Wolbachia sp.,Rickettsiaceae,Arthropods,No
Xanthomonas campestris,Xanthomonadaceae,Plants,No
Yersinia enterocolitica,Enterobacteriaceae,Intestinal tract,Yes
Zymomonas mobilis,Sphingomonadaceae,Sugary environments,No
Aeromonas hydrophila,Aeromonadaceae,Freshwater,Yes
Bifidobacterium longum,Bifidobacteriaceae,Intestinal tract,No
Citrobacter freundii,Enterobacteriaceae,Intestinal tract,No
Desulfovibrio vulgaris,Desulfovibrionaceae,"Soil, water",No
Enterobacter aerogenes,Enterobacteriaceae,Intestinal tract,No
Flavobacterium columnare,Flavobacteriaceae,Freshwater,Yes
Geobacter sulfurreducens,Geobacteraceae,Soil,No
Halomonas elongata,Halomonadaceae,Salty environments,No
Idiomarina loihiensis,Idiomarinaceae,Deep-sea environments,No
Jannaschia sp.,Rhodobacteraceae,Marine environments,No
Kocuria rhizophila,Micrococcaceae,Soil,No
Lysinibacillus sphaericus,Bacillaceae,Soil,No
Micrococcus luteus,Micrococcaceae,"Skin, environment",No
Nocardia asteroides,Nocardiaceae,Soil,Yes
Oceanospirillum linum,Oceanospirillaceae,Marine environments,No
Pantoea agglomerans,Enterobacteriaceae,"Plants, soil",No
Acidithiobacillus ferrooxidans,Acidithiobacillaceae,"Acidic, sulfidic environments",No
Alcaligenes faecalis,Alcaligenaceae,"Soil, water, human feces",No
Bdellovibrio bacteriovorus,Bdellovibrionaceae,Predatory on other bacteria,No
Burkholderia cepacia,Burkholderiaceae,"Soil, water, rhizosphere",Yes
Caldicellulosiruptor bescii,Clostridiaceae,Hot springs,No
Deinococcus radiodurans,Deinococcaceae,Radioactive environments,No
Enterococcus durans,Enterococcaceae,Human and animal intestines,No
Flavobacterium psychrophilum,Flavobacteriaceae,"Freshwater, cold environments",Yes
Gluconobacter oxydans,Acetobacteraceae,"Fruits, flowers",No
Halobacterium salinarum,Halobacteriaceae,Salt lakes,No
Isoptericola variabilis,Promicromonosporaceae,Soil,No
Janibacter hoylei,Intrasporangiaceae,High-altitude air,No
Kytococcus sedentarius,Micrococcaceae,Human skin,Yes
Leuconostoc mesenteroides,Leuconostocaceae,"Plants, fermented foods",No
Methanobrevibacter smithii,Methanobacteriaceae,Human and animal guts,No
Nitrobacter winogradskyi,Nitrobacteraceae,"Soil, water",No
Oenococcus oeni,Leuconostocaceae,"Wine, fermented beverages",No
Prevotella intermedia,Prevotellaceae,Human oral cavity,Yes
Quinella ovalis,Lachnospiraceae,Ruminant gut,No
Rhodococcus fascians,Nocardiaceae,Plants,Yes
Sphingomonas wittichii,Sphingomonadaceae,"Soil, water",No
Thioalkalivibrio sulfidiphilus,Ectothiorhodospiraceae,"Alkaline, sulfidic environments",No
Ureibacillus thermosphaericus,Bacillaceae,Hot compost,No
Veillonella parvula,Veillonellaceae,Human and animal mouths,No
Xenorhabdus nematophila,Enterobacteriaceae,Symbiotic with nematodes,Yes
Yokenella regensburgei,Enterobacteriaceae,"Environment, occasionally human samples",Yes
Zooglea ramigera,Zoogloeaceae,Wastewater treatment systems,No
Aeromonas salmonicida,Aeromonadaceae,Fish,Yes
Brevundimonas diminuta,Caulobacteraceae,"Water, environment",No
Chryseobacterium indologenes,Flavobacteriaceae,"Water, soil",Yes
Dyadobacter fermentans,Cytophagaceae,"Soil, plant roots",No
Exiguobacterium sibiricum,Bacillaceae,Cold environments,No
Frankia alni,Frankiaceae,Root nodules of alder trees,No
Gordonia bronchialis,Tsukamurellaceae,"Soil, human respiratory tract",Yes
Hydrogenophaga pseudoflava,Comamonadaceae,"Water, soil",No
Inquilinus limosus,Burkholderiaceae,Human respiratory tract,Yes
Jonesia denitrificans,Actinomycetaceae,Soil,No
